Clinical Vignettes,Rationale,acuity
"A 46-year-old asthmatic in significant respiratory distress presents via ambulance. The paramedics report that the patient began wheezing earlier in the day and had been using her inhaler with no relief. On her last  admission for asthma, she was intubated. Vital signs: RR 44, SpO2 93% on room air, HR 98, BP 154/60. The patient is able to answer your questions about allergies and medications.","ESI level 2: High-risk. An asthmatic with a prior history of intubation is a high-risk situation. This patient is in respiratory distress as evidenced, by her respiratory rate, oxygen saturation, and work of breathing. She does not meet the criteria for ESI level 1, requires immediate lifesaving intervention.",2
"A 56-year-old male with a recent diagnosis of late-stage non-Hodgkin’s lymphoma was brought to the ED from the oncology clinic. He told his oncologist that he had facial and bilateral arm swelling and increasing shortness of breath. The patient also reports that his symptoms are worse if he lies down. Vital signs: BP 146/92, HR 122, RR 38, SpO2 98% on room air, temperature normal.","ESI level 2: High risk. This patient is demonstrating respiratory distress with his increased respiratory rate and decreased oxygen saturation. Symptoms are caused by compression of the superior vena cava from the tumor. It is difficult for blood to return to the heart, causing edema of the face and arms",2
"EMS arrives with an 87-year-old male who slipped on the ice and injured his right hip. His right leg is shortened and externally rotated. The patient’s only complaint is hip pain. He rates his pain as 5/10, and his vital signs are within normal limits.","ESI level 3: Two or more resources. This patient probably has a fractured hip and will need an x ray, IV pain medication, and an orthopedic consult. If the reason for a fall in the elderly is unclear, the patient should be assigned ESI level 2 to rule out a cardiac or neurological event.",3
"A 72-year-old female is brought in by  ambulance from the nearby nursing home.  They report that she has become increasingly confused over the last 24 hours. She is usually awake, alert, and oriented and takes care of her own activities of daily living. At triage she has a temperature of 99.6°F, HR 86, RR 28, BP 136/72, SpO2 94% on room air.",ESI level 2: High risk.  An  elderly  patient with increasing confusion and a fever needs to be evaluated for an infection. UTIs and pneumonia need to be ruled out. This patient may be septic and requires rapid evaluation and treatment.,2
"The overhead page announces the arrival of the Code STEMI. Paramedics arrive with a 62-year- old male with a history of a myocardial infarction 4 years ago who is complaining of chest pressure that started an hour ago. The field EKG shows anterior lateral ischemic changes. Currently, the patient’s heart rate is 106, RR 28, BP 72/53, SpO2 is 95% on a non- rebreather mask. His skin is cool and clammy.","ESI  level  1:   Requires   immediate lifesaving intervention. This patient is experiencing another cardiac event that requires immediate treatment. His vital signs and skin perfusion are suggestive of cardiogenic shock, and the patient may require fluid resuscitation or vasopressors to treat hypotension.",1
"“I had a knee replacement 3 months ago. Now look at it!” states a 64-year-old male. The knee is red, swollen and tender to touch. Vital signs: T 99°F, RR 20, HR 74, BP 164/74, SpO2 97%. Pain 6/10.","ESI level 3: Two or more resources. The patient is presenting with signs and symptoms of an infection. At a minimum, he will require labs, an x ray, an orthopedic consult, and IV antibiotics.",3
"EMS arrives with a 67-year-old female who lives alone. The patient called 911 because she was too sick to get herself to the doctor. The patient has had a fever and cough for 3 days. She reports coughing up thick green phlegm and is concerned that she has pneumonia. She denies shortness of breath. Past medical history HTN, T 102°F, RR 28, HR 86, BP 140/72, SpO2 94%.","ESI level 3: Two or more resources. This elderly patient may have pneumonia. Labs and a chest x ray are required, in addition to IV antibiotics. If vital signs are outside the accepted parameters, they may be considered high risk and meet ESI level-2 criteria.",3
"“I woke up this morning, and there was a bat flying around our bedroom. Scared me half to death, and now I am so worried about rabies,”  an anxious 48-year-old female tells you. “My husband opened the window, and the bat flew out.” Past medical history of ovarian cysts, no med or allergies, vital signs are within normal limits.","ESI level 4: One resource. It is unknown whether the patient was bitten by the bat because they were sleeping, so postexposure prophylaxis will be initiated. One resource—an intramuscular medication.",4
"The family of a 74-year-old male called 911 when he developed severe mid-abdominal pain. “My husband is not a complainer,” reports his wife. “The only medication he takes is for high blood pressure.” On arrival in the ED, the patient’s HR is 140, RR 28, SpO2 94%, BP 72/56.","ESI level 1: The patient is presenting with signs of shock, hypotension tachycardia, and tachypnea. He has a history of HTN and is presenting with signs and symptoms that could be suggestive of a dissecting aortic abdominal aneurysm. On arrival in the emergency department, he will require immediate lifesaving interventions such as immediate IV access, aggressive fluid resuscitation, and perhaps blood prior to surgery.",1
"“I woke up this morning, and my eyes are all  red and crusty,” reports a 29-year-old kindergarten teacher. “I think I got it from the kids at school,” she tells you. She denies pain or other visual disturbances. Her vital signs are within normal limits.","ESI level 5: No resources. Following a physical exam, this patient will be discharged to home with a prescription and appropriate discharge instructions. No resources are required.",5
"“I have this skin rash in my crotch. It looks like jock rot. Probably got it from not washing my gym clothes,” reports a 19-year-old healthy male. No abnormal vital signs.","ESI level 5: No resources. Following a physical exam, this young man will be discharged to home with a prescription and appropriate discharge instructions.",5
"“The doctor told me to come back this morning and have my boil checked. He lanced it yesterday and packed some stuff in it. He said he just want to make sure it is healing OK,” reports a 54-year-old diabetic male. The patient goes on to tell you that he feels so much better. T 98°F, RR 16, HR 64, BP 142/78, SpO2 98%. Pain 2/10.","ESI level 5: No resources. This patient was instructed to come back to the emergency department for a wound check. He will be examined and discharged to home. No resources are required. A point-of-care finger stick glucose is indicated, but this is not a resource. If the patient came back with a fever or increasing pain and redness, then his ESI level would reflect the additional resources he would require.",5
"“I have been wheezing for a few days, and  today I woke up with a fever. My rescue inhaler doesn’t seem to be helping,” reports a 43-year- old female with a past history of asthma. Vital signs: T 101.4°F, RR 26, HR 90, BP 138/70, SpO2 95%.","ESI level 3: Two or more resources. This patient has a history of asthma that is not responding to her rescue inhaler. In addition, she has a fever. At a minimum, she will need two resources: hand-held nebulizer treatments and a chest x ray.",3
"“I was having breakfast with my wife, and all of a sudden I couldn’t see out of my right eye. It lasted about 5 minutes. I’m just scared because I’ve never had anything like this happen  before,” reports a 56-year-old male with a history of HTN and high cholesterol.","ESI level 2: High risk. This patient is exhibiting signs of central retinal artery occlusion, which represents an acute threat to loss of vision. Rapid evaluation is necessary.",2
"“I was walking down the street and twisted my ankle as I stepped off the curb. I don’t think it’s broken, but it hurts so much,” report a 43-year- old female with a history of colitis. Vital signs:  T 98°F, HR 72, RR 18, BP 134/80, SpO2 100%. Pain 8/10.","ESI level 4: One resource. To rule out a fracture, this patient will require an x ray, one resource. The application of a splint and crutch walking instructions are not counted as resources. This patient does not meet the criteria for ESI level 2 for pain because nursing can immediately initiate interventions to address her pain.",4
"“My colitis is acting up,” report a 26-year-old female. “It started with an increased number of stools, and now I am cramping a lot. My gastroenterologist told me to come to the emergency department to be evaluated.” No other past medical history. T 97°F, RR 18, HR 68, BP 112/76, SpO2 100%. Pain 6/10.","ESI level 3: Two or more resources.  The patient is presenting with a colitis flare. She will need labs and possibly an IV and a CT of the abdomen, especially in light of her presentation with normal vital signs. Two resources.",3
"A 46-year-old female with a history of sickle cell disease presents to the emergency department because of a crisis. She has pain in her lower legs that began 8 hours ago, and the pain medication she is taking is not working. Currently, she rates her pain as 8/10. She has no other medical problems, and her current medications include folate and vicodin. Vital signs are all within normal limits.","ESI level 2: High risk. Sickle cell disease requires immediate medical attention because of the severity of the patient’s pain, which is caused by the sickle cells occluding small and sometimes large blood vessels. Rapid analgesic management will help prevent the crisis from progressing to the point where hospitalization will be unavoidable.",2
"“I take a blood thinner because I have had clots in my legs,” reports a 54-year-old black male. “They told me that medicine would prevent them, but today I have pain and swelling in my lower leg. It started out just being sore, but now I can hardly walk on it.” Denies any other complaints. Vital signs within normal limits.",ESI level 3: Two or more resources. This patient will need lab tests and lower-extremity vascular studies to rule out a deep vein thrombosis.,3
"A 65-year-old female is brought in by ambulance from the local nursing home for replacement of her PEG tube. The information from the nursing home states that she had a massive stroke 3 years ago and is now aphasic. Her condition is unchanged, and she is a do not resuscitate/do not intubate. Vital signs within normal limits.",ESI level 3: Two or more resources. This patient will need to be seen by surgery or GI and her PEG tube reinserted—two resources.,3
"26-year-old female presents to the ED because she can’t get an appointment  with  her therapist. She went home for the holidays, and the visit brought back many issues from her childhood. She is unable to sleep and has been drinking more than usual. She admits to thinking about hurting herself but has no plan. History of previous suicide attempts. Vital signs within normal limits.",ESI level 2: High-risk situation.  This patient is a danger to herself and needs to be placed in a safe environment with a constant observer.,2
"“I am here on business for a week, and I forgot to pack my blood pressure  medication.  I haven’t taken it for 2 days. Do you think one of the doctors will write me a prescription?” asks a 58-year-old male. BP 154/88, HR 64, RR 18, T 98°F, SpO2 99%.",ESI level 5: No resources. The patient  will need a history and physical exam and then will be discharged to home with a prescription. An oral dose of his blood pressure medication does not count as a resource.,5
"“I fell running for the bus,” reports a 42-year- old female. “Nothing hurts, I just have road burn on both my knees, and I think I need a tetanus booster.” Vital signs within normal limits.","ESI level 5: No resources. A tetanus booster is not a resource, and neither is cleaning and dressing abrasions.",5
"EMS radios in that they are in route with a 21- year-old with a single gunshot wound to the left chest. Vital signs are BP 78/palp, HR 148, RR 36, SpO2 96% on a non-rebreather.","ESI  level  1:  Requires  immediate lifesaving intervention. The trauma team needs to be in the trauma room and ready to aggressively manage this 21-year-old with a single gunshot wound to the left chest. He will require airway management, fluid resuscitation and, depending on the injury, a chest tube or rapid transport to the operating room.",1
"A 51-year-old presents to triage with redness  and swelling of his right hand. He reports being scratched by his cat yesterday. Past medial history gastroesophageal reflux disease. Vital signs: BP 121/71, HR 118, RR 18, T 101.8°F, SpO2 98%. Pain 5/10.","ESI level 3: Two or more resources. This patient probably has a cellulitis of the hand and will require labs and IV antibiotics. Starting a saline lock is not a resource, but IV antibiotics are a resource.",3
"EMS arrives with a 52-year-old female overdose. The patient took eight 75 mg tabs of wellbutrin 2 hours ago because her husband left her for another woman, and now she wants to die. She is awake, alert, and oriented.","ESI level 2:  High-risk  situation.  An overdose is a high-risk situation, and wellbutrin overdoses are prone to seizures, hallucinations, and irregular heart rhythms. This patient is suicidal and also needs to be monitored closely for safety.",2
"The local police arrive with a 48-year-old male who was arrested last night for public intoxication. He spent the night in jail, and this morning he is restless and has tremors. The patient usually drinks a case of beer a day and has not had a drink since 7 p.m. Vital signs: BP 172/124, HR 122, RR 18, T 98.6°F, SpO2 97% Pain 0/10.","ESI level 2: High-risk situation. This 48- year-old male is probably showing signs of alcohol withdrawal, a high-risk situation. He is restless, tremulous and tachycardic. In addition he is hypertensive. He is not safe to wait in the waiting room, and should be given your last open bed.",2
